Date,Company,Title,Job Link,criteria
2022-01-12,Intel Corporation,Executive Recruiting Specialist,https://www.linkedin.com/jobs/view/executive-recruiting-specialist-at-intel-corporation-2874025062?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=fj7SmaGzbn2CT8JfaULDtA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Accounting/Auditing and Finance
          
        
        
          
            Industries
          
          
          Hospitals and Health Care
          
        
    "
2022-01-18,PostalAdviser,Public Affairs Advisor,https://www.linkedin.com/jobs/view/public-affairs-advisor-at-postaladviser-2881145443?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=bZJP2DFGjoZAC7xx3ieeBw%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Contract
        
      
        
          
            Job function
          
          
            Human Resources
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-01-09,Centene Corporation,Disease Management Enrollment Representative,https://www.linkedin.com/jobs/view/disease-management-enrollment-representative-at-centene-corporation-2901707914?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=laA2m4nHgP3U30l%2FfKHpZA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Associate
          
        
      
        
          Employment type
        
        
          Temporary
        
      
        
          
            Job function
          
          
            Marketing, Public Relations, and Writing/Editing
          
        
        
          
            Industries
          
          
          Transportation, Logistics and Storage
          
        
    "
2022-02-01,Dignity Health,AR Billing Representative II,https://www.linkedin.com/jobs/view/ar-billing-representative-ii-at-dignity-health-2900364321?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=4C9zH4i96i9yvRLZ2BR5Og%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,"Seniority level
Entry level
Employment type
Full-time
Job function
Accounting/Auditing and Finance
Industries
Hospitals and Health Care"
2022-01-28,Kalispell Christian Center,Graduate Geo Environmental Engineer,https://www.linkedin.com/jobs/view/graduate-geo-environmental-engineer-at-kalispell-christian-center-2895106438?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=%2BMxX1vyvEQM2hHLc27Tn2w%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Accounting/Auditing and Finance
          
        
        
          
            Industries
          
          
          Hospitals and Health Care
          
        
    "
2022-02-03,Partnership Properties,Video Producer,https://www.linkedin.com/jobs/view/video-producer-at-partnership-properties-2904396014?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=tiDZWl6oYj1doisDAi%2FaJQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Engineering and Information Technology
          
        
        
          
            Industries
          
          
          Religious Institutions
          
        
    "
2022-01-27,"Viewpoint, Inc.",Investment Analyst - International Commercial Real Estate,https://www.linkedin.com/jobs/view/investment-analyst-international-commercial-real-estate-at-viewpoint-inc-2893521702?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=QOjRl8JiyiaimXdKA32Ntg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Marketing, Public Relations, and Writing/Editing
          
        
        
          
            Industries
          
          
          Leasing Real Estate
          
        
    "
2022-01-17,Phoenix Healthcare LLC,BNEF Analyst - Climate Solutions - London,https://www.linkedin.com/jobs/view/bnef-analyst-climate-solutions-london-at-phoenix-healthcare-llc-2879440175?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=Uft22KdbtuspvSVaDvzRww%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Associate
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Finance and Sales
          
        
        
          
            Industries
          
          
          Software Development
          
        
    "
2022-01-21,Octavia In formation Systems Ltd,Social Media and Digital Marketing Assistant,https://www.linkedin.com/jobs/view/social-media-and-digital-marketing-assistant-at-octavia-in-formation-systems-ltd-2885991493?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=%2FUsZgc5hE2N%2BVGzaciaNsA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,"Seniority level
Entry level
Employment type
Full-time
Job function
Marketing and Sales
Industries
IT Services and IT Consulting"
2022-02-03,Total Wine & More,Retail Store Manager (Folsom),https://www.linkedin.com/jobs/view/retail-store-manager-folsom-at-total-wine-more-2906980554?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=toWizVjt4IQ7NM38zzMxzA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,"Seniority level
Mid-Senior level
Employment type
Part-time
Job function
Sales and Business Development
Industries
Manufacturing, Financial Services, and Retail"
