,Date,Company,Title,Job Link,Seniority level,Employment type,Job function,Industries
52,2022-01-27,Globatec IT Facilities,Parliamentary Affairs / Public Affairs Advisor,https://www.linkedin.com/jobs/view/parliamentary-affairs-public-affairs-advisor-at-globatec-it-facilities-2893520400?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=RmanippRalhSzUk160tdcQ%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,Associate,Full-time,"Marketing, Public Relations, and Writing/Editing",IT Services and IT Consulting
53,2022-02-01,Ideas In Bloom,Mechanical Design Engineer (Renewable Energy / Remote Working),https://www.linkedin.com/jobs/view/mechanical-design-engineer-renewable-energy-remote-working-at-ideas-in-bloom-2901019121?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=yy6jkUB2lFexJb1%2F29D%2F7A%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Graphic Design
54,2022-01-31,Turning Point Community Programs,Human Resources Generalist,https://www.linkedin.com/jobs/view/human-resources-generalist-at-turning-point-community-programs-2900070441?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=Lvo%2B8ksOpCyH0wizQo0XUQ%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,,Full-time,,
55,2022-01-17,Terra Nova Community Church,Junior Buyer,https://www.linkedin.com/jobs/view/junior-buyer-at-terra-nova-community-church-2879440953?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=amkltVkUt25bvUz9K2SnPw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,Entry level,Contract,Purchasing and Supply Chain,Religious Institutions
56,2022-02-02,California ISO,Economics Intern - Summer 2022 (Onsite),https://www.linkedin.com/jobs/view/economics-intern-summer-2022-onsite-at-california-iso-2901502345?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=IhTWSMv5G9udTlzgKKfAiw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,Internship,Internship,Finance and Sales,"IT Services and IT Consulting, Oil and Gas, and Utilities"
57,2022-02-02,Centene Corporation,Office Services Clerk,https://www.linkedin.com/jobs/view/office-services-clerk-at-centene-corporation-2901229356?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=LP8HeMTzyy5x9uwaiILrbQ%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Administrative,Insurance and Hospitals and Health Care
58,2022-01-27,OmmerenRecruitment,Digital Content and Communications Manager,https://www.linkedin.com/jobs/view/digital-content-and-communications-manager-at-ommerenrecruitment-2893505918?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=5o7Oivu03mAg78NNb44cVQ%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,Associate,Full-time,Marketing and Sales,Staffing and Recruiting
59,2022-01-28,QUIÉN DIJO IMPOSIBLE,Drug Safety Officer,https://www.linkedin.com/jobs/view/drug-safety-officer-at-qui%C3%A9n-dijo-imposible-2895103456?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=Eae%2FGJ5ce%2BJZCiV8BKF%2Bhw%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Legal,Business Skills Training
60,2022-01-21,E8surveys.com,Technology Team and Operations Coordinator,https://www.linkedin.com/jobs/view/technology-team-and-operations-coordinator-at-e8surveys-com-2885981585?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=X21F7QxxDS87G3b04JKt9Q%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Management and Manufacturing,Environmental Services
61,2022-02-02,Dignity Health,Clinical Lab Scientist,https://www.linkedin.com/jobs/view/clinical-lab-scientist-at-dignity-health-2901941706?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=czFUE1EqNCxICu5nhk9Yqw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,Associate,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care
62,2022-01-17,Stichting Speelkr8,Junior Product Developer and Buyer,https://www.linkedin.com/jobs/view/junior-product-developer-and-buyer-at-stichting-speelkr8-2879445515?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=%2FEDnFqkcncrJcPTnP35jXg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Product Management and Marketing,Philanthropic Fundraising Services
63,2022-01-28,Ooms architecten,Social Media Coordinator,https://www.linkedin.com/jobs/view/social-media-coordinator-at-ooms-architecten-2895108081?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=RZSxOJG%2FMlq%2FRaoNJgtIfQ%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Marketing and Sales,Architecture and Planning
64,2022-01-12,Dignity Health,EMPLOYEE HEALTH COORD,https://www.linkedin.com/jobs/view/employee-health-coord-at-dignity-health-2901945492?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=nOFlA8FxbOVxEIaOEfLd5w%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Other,Hospitals and Health Care
65,2022-02-02,Nicola Webster,HR Officer (Homebased),https://www.linkedin.com/jobs/view/hr-officer-homebased-at-nicola-webster-2902850461?refId=JS8laPf4EvskoCjqNOWuUw%3D%3D&trackingId=6qz%2BAASKhRgNGhHyn6N%2BLw%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,Entry level,Temporary,Human Resources,Photography
